match_id,player,Date,avg_bp_clutch_save_pct,avg_bp_first_in_pct,avg_bpo_conv_pct,avg_bpo_ue_pct
19820531-M-Roland_Garros-R16-Mats_Wilander-Ivan_Lendl,Ivan Lendl,1982-05-31,0.5940527444875271,0.47843498321759187,0.3890919984217959,0.24392788291052514
19820531-M-Roland_Garros-R16-Mats_Wilander-Ivan_Lendl,Mats Wilander,1982-05-31,,,,
19820531-M-Roland_Garros-R16-Yannick_Noah-Wojtek_Fibak,Wojtek Fibak,1982-05-31,,,,
19820531-M-Roland_Garros-R16-Yannick_Noah-Wojtek_Fibak,Yannick Noah,1982-05-31,,,,
19820606-M-Roland_Garros-F-Guillermo_Vilas-Mats_Wilander,Guillermo Vilas,1982-06-06,0.5279018586801606,0.5744481328207743,0.3664334432121946,0.20551058164785052
19820606-M-Roland_Garros-F-Guillermo_Vilas-Mats_Wilander,Mats Wilander,1982-06-06,0.625,0.7142857142857143,0.4153846153846154,0.1076923076923077
19820703-M-Wimbledon-SF-Mark_Edmondson-Jimmy_Connors,Jimmy Connors,1982-07-03,0.5831614714901681,0.6959315164251678,0.4043965294609897,0.1596779555327756
19820703-M-Wimbledon-SF-Mark_Edmondson-Jimmy_Connors,Mark Edmondson,1982-07-03,,,,
19820704-M-Wimbledon-F-John_Mcenroe-Jimmy_Connors,Jimmy Connors,1982-07-04,0.5854906081252466,0.6934927789452927,0.4077338557096109,0.1556307184976369
19820704-M-Wimbledon-F-John_Mcenroe-Jimmy_Connors,John Mcenroe,1982-07-04,0.6350945824987437,0.5723957010715257,0.37797745909392383,0.18371799546389783
19820709-M-Davis_Cup_EUR_SF-RR-Ivan_Lendl-Yannick_Noah,Ivan Lendl,1982-07-09,0.5927045502200782,0.4848124031974964,0.38707885579011075,0.25244838943351133
19820709-M-Davis_Cup_EUR_SF-RR-Ivan_Lendl-Yannick_Noah,Yannick Noah,1982-07-09,0.6451612903225806,0.5,0.5116279069767442,0.11627906976744186
19820911-M-US_Open-SF-John_Mcenroe-Ivan_Lendl,Ivan Lendl,1982-09-11,0.5917296889897382,0.48789009808082817,0.37951032534695917,0.2310964223869755
19820911-M-US_Open-SF-John_Mcenroe-Ivan_Lendl,John Mcenroe,1982-09-11,0.6377255895127373,0.5765479111674171,0.384940875964302,0.18122867532908582
19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Ivan Lendl,1982-09-12,0.605754025540736,0.496358149861021,0.3673725414495493,0.22343706013977402
19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl,Jimmy Connors,1982-09-12,0.5818729873818844,0.6786087190264241,0.40201073860374337,0.15049673160465626
19821213-M-Australian_Open-F-Steve_Denton-Johan_Kriek,Johan Kriek,1982-12-13,0.3673469387755102,0.4489795918367347,0.34615384615384615,0.2692307692307692
19821213-M-Australian_Open-F-Steve_Denton-Johan_Kriek,Steve Denton,1982-12-13,,,,
19830123-M-Tour_Finals-F-John_Mcenroe-Ivan_Lendl,Ivan Lendl,1983-01-23,0.6032431391156947,0.49349652842330605,0.37438528730459436,0.2135933541257966
