player,match_id,avg_first_serve_pct,avg_first_serve_won_pct,avg_second_serve_won_pct,avg_ace_pct,avg_df_pct,avg_return_won_pct,avg_winners_per_pt,avg_ue_per_pt,avg_winners_fh_ratio,avg_bp_save_pct,avg_bp_clutch_save_pct,avg_bp_first_in_pct,avg_bpo_conv_pct,avg_bpo_ue_pct,avg_srv_win_1_3,avg_srv_win_4_6,avg_srv_win_7plus,avg_ret_win_1_3,avg_ret_win_4_6,avg_ret_win_7plus,elo,elo_surface
Alexis Galarneau,20241029-M-Charlottesville_CH-R32-Alexis_Galarneau-Naoki_Nakagawa,0.5615802346308503,0.7224111866969011,0.5525690525690526,0.044732057727953765,0.04185987291322449,0.4650726779995073,0.11998944956237463,0.1523420277650737,0.5236956026429711,0.6904761904761904,0.63796768707483,0.5926870748299319,0.5007936507936508,0.12784391534391534,0.5549201694362985,0.4765829408686552,0.6265185640185641,,,,1542.7444816596844,1535.4604163636902
Aljaz Bedene,20191025-M-Vienna-QF-Gael_Monfils-Aljaz_Bedene,0.54854599547112,0.6780446602676069,0.46980506554468754,0.07835913172479413,0.041395232772067775,0.3629700084009544,0.13285522181404136,0.20830924934550604,0.5370412532525808,0.5832996415349356,0.5748437494494192,0.5201050230385758,0.35301467649769186,0.16565710676351353,0.49609958443530916,0.4935940615973767,0.47204957687067106,0.4958272971587091,0.40803774681334826,0.4852540235683096,1502.6796892865143,1427.782549465128
Altug Celikbilek,20170915-M-Istanbul_CH-QF-Altug_Celikbilek-Karim_Mohamed_Maamoun,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Alvaro Guillen Meza,20250404-M-Campinas_CH-QF-Alvaro_Guillen_Meza-Juan_Carlos_Prado_Angelo,0.6808334254448989,0.6739287433798749,0.4642857142857143,0.015198408312147674,0.0438819498176191,0.40708760568447566,0.1394867344408629,0.19960327299776842,0.7337164750957854,0.6071428571428572,0.6039807824296499,0.6582017844886754,0.36454545454545456,0.19681818181818184,0.5256044768239889,0.44033101045296164,0.5208572522005358,,,,1527.3281120636977,1528.889172939779
Amir Weintraub,20140515-M-Busan_CH-R16-Amir_Weintraub-Daniel_Smethurst,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Amos Mansdorf,19920223-M-Philadelphia-F-Pete_Sampras-Amos_Mansdorf,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Anders Jarryd,19850705-M-Wimbledon-SF-Anders_Jarryd-Boris_Becker,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Andre Agassi,20060831-M-US_Open-R64-Marcos_Baghdatis-Andre_Agassi,0.6313536122276597,0.7085503239108173,0.5512839885162621,0.05399754582134039,0.027520831779342423,0.3905952663780672,0.15546370237479912,0.14907812541864365,0.4765870824879037,0.5872371010034653,0.6545487079190181,0.59960035682644,0.3910175478748523,0.12600019502681087,0.5044345846803918,0.5376036588013187,0.564814370519452,0.49934407419570087,0.53300645020775,0.5611146195749358,1348.6062155384986,1354.1751141956095
Andrea Arnaboldi,20190701-M-Wimbledon-R128-Andrea_Arnaboldi-Ivo_Karlovic,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
Andrea Collarini,20190814-M-Cordenons_CH-R16-Aleksandar_Vukic-Andrea_Collarini,,,,,,,,,,,,,,,,,,,,,1500.0,1500.0
