match_id,player,Date,avg_srv_win_1_3,avg_srv_win_4_6,avg_srv_win_7plus,avg_ret_win_1_3,avg_ret_win_4_6,avg_ret_win_7plus
20230706-M-Wimbledon-R64-Adrian_Mannarino-Daniil_Medvedev,Adrian Mannarino,2023-07-06,0.4613068159040734,0.47663341572748796,0.5567381984114496,0.4877647849390823,0.49492056932795225,0.509845157410988
20230723-M-Newport-F-Alex_Michelsen-Adrian_Mannarino,Adrian Mannarino,2023-07-23,0.46238348158904324,0.46532305532595486,0.5513038005212298,0.4877647849390823,0.49492056932795225,0.509845157410988
20231009-M-Shanghai_Masters-R32-Andrey_Rublev-Adrian_Mannarino,Adrian Mannarino,2023-10-09,0.46238348158904324,0.46532305532595486,0.5513038005212298,0.49060869357801107,0.49685141020429646,0.5131352957706741
20231030-M-Paris_Masters-R64-Botic_Van_De_Zandschulp-Adrian_Mannarino,Adrian Mannarino,2023-10-30,0.46238348158904324,0.46532305532595486,0.5513038005212298,0.48761897218429556,0.4919785535716375,0.5110343153325998
20240104-M-United_Cup-QF-Casper_Ruud-Adrian_Mannarino,Adrian Mannarino,2024-01-04,0.46238348158904324,0.46532305532595486,0.5513038005212298,0.4860719660937861,0.49309625032195353,0.5099853398431301
20240106-M-United_Cup-SF-Hubert_Hurkacz-Adrian_Mannarino,Adrian Mannarino,2024-01-06,0.46238348158904324,0.46532305532595486,0.5513038005212298,0.48321108515884537,0.4913982286969398,0.5070909887946268
20240115-M-Australian_Open-R128-Stan_Wawrinka-Adrian_Mannarino,Adrian Mannarino,2024-01-15,0.46238348158904324,0.46532305532595486,0.5513038005212298,0.4798940356380071,0.49329102773815536,0.5062681429280977
20240119-M-Australian_Open-R32-Ben_Shelton-Adrian_Mannarino,Adrian Mannarino,2024-01-19,0.46238348158904324,0.46532305532595486,0.5513038005212298,0.48023845689895567,0.49647599342401183,0.5082340808643293
20240120-M-Australian_Open-R16-Novak_Djokovic-Adrian_Mannarino,Adrian Mannarino,2024-01-20,0.46238348158904324,0.46532305532595486,0.5513038005212298,0.4782547653605698,0.4984270811023358,0.5102731699821231
20240210-M-Dallas-SF-Adrian_Mannarino-Marcos_Giron,Adrian Mannarino,2024-02-10,0.46238348158904324,0.46532305532595486,0.5513038005212298,0.47567400936861887,0.4918507749385236,0.5053989410672048
20240309-M-Indian_Wells_Masters-R64-Adrian_Mannarino-Tomas_Machac,Adrian Mannarino,2024-03-09,0.46026033752032086,0.4497718891267924,0.5361911012255521,0.47567400936861887,0.4918507749385236,0.5053989410672048
20240311-M-Indian_Wells_Masters-R32-Grigor_Dimitrov-Adrian_Mannarino,Adrian Mannarino,2024-03-11,0.46922133381988973,0.4616013695737797,0.5418477808083424,0.47567400936861887,0.4918507749385236,0.5053989410672048
20240617-M-Queens_Club-R32-Grigor_Dimitrov-Adrian_Mannarino,Adrian Mannarino,2024-06-17,0.46922133381988973,0.4616013695737797,0.5418477808083424,0.47433067072658575,0.49142829669637916,0.501397415305952
20240701-M-Wimbledon-R128-Gael_Monfils-Adrian_Mannarino,Adrian Mannarino,2024-07-01,0.46922133381988973,0.4616013695737797,0.5418477808083424,0.4723480821690167,0.4872524787644684,0.4956838376853623
20240829-M-US_Open-R64-Adrian_Mannarino-David_Goffin,Adrian Mannarino,2024-08-29,0.46922133381988973,0.4616013695737797,0.5418477808083424,0.4718588164725456,0.4873261134082769,0.49657340319711607
20240922-M-Chengdu-QF-Adrian_Mannarino-Lorenzo_Musetti,Adrian Mannarino,2024-09-22,0.46863535521031435,0.46207794493552773,0.5360276257241499,0.4718588164725456,0.4873261134082769,0.49657340319711607
20250114-M-Australian_Open-R128-Adrian_Mannarino-Karen_Khachanov,Adrian Mannarino,2025-01-14,0.4692369498574958,0.46288557337705727,0.5269161430188295,0.4718588164725456,0.4873261134082769,0.49657340319711607
20250128-M-Montpellier-R32-Richard_Gasquet-Adrian_Mannarino,Adrian Mannarino,2025-01-28,0.4682184867437065,0.4582814446263706,0.5186483485097005,0.4718588164725456,0.4873261134082769,0.49657340319711607
20250813-M-Cincinnati_Masters-R16-Adrian_Mannarino-Jannik_Sinner,Adrian Mannarino,2025-08-13,0.4682184867437065,0.4582814446263706,0.5186483485097005,0.46933867270987784,0.4881192310256953,0.4948363002290629
20250824-M-US_Open-R128-Adrian_Mannarino-Tallon_Griekspoor,Adrian Mannarino,2025-08-24,0.46860898885530466,0.45282136436935005,0.5161503408439568,0.46933867270987784,0.4881192310256953,0.4948363002290629
20260104-M-Hong_Kong-R32-Marin_Cilic-Adrian_Mannarino,Adrian Mannarino,2026-01-04,0.47094764619243973,0.467266172943212,0.5273913613116291,0.46933867270987784,0.4881192310256953,0.4948363002290629
20260119-M-Australian_Open-R128-Rinky_Hijikata-Adrian_Mannarino,Adrian Mannarino,2026-01-19,0.47094764619243973,0.467266172943212,0.5273913613116291,0.4683288073330719,0.4864946666609434,0.4931731165362459
20260202-M-Montpellier-R32-Pedro_Martinez-Adrian_Mannarino,Adrian Mannarino,2026-02-02,0.47094764619243973,0.467266172943212,0.5273913613116291,0.4679805593308372,0.484805307051453,0.48858049479022564
