match_id,Winner
19880122-M-Australian_Open-SF-Pat_Cash-Ivan_Lendl,1
19880123-M-Australian_Open-SF-Stefan_Edberg-Mats_Wilander,2
19880124-M-Australian_Open-F-Pat_Cash-Mats_Wilander,2
19880305-M-Indian_Wells_Masters-SF-Boris_Becker-Andre_Agassi,1
19880403-M-Dallas_WCT-F-Stefan_Edberg-Boris_Becker,2
19880427-M-Hamburg-R32-Boris_Becker-Mansour_Bahrami,1
19880524-M-Monte_Carlo_Masters-F-Martin_Jaite-Ivan_Lendl,2
19880528-M-Roland_Garros-R32-Thomas_Muster-Boris_Becker,2
19880602-M-Roland_Garros-QF-Henri_Leconte-Boris_Becker,1
19880604-M-Roland_Garros-SF-Jonas_Svensson-Henri_Leconte,2
19880604-M-Roland_Garros-SF-Mats_Wilander-Andre_Agassi,1
19880605-M-Roland_Garros-F-Mats_Wilander-Henri_Leconte,1
19880612-M-Queens_Club-F-Boris_Becker-Stefan_Edberg,1
19880629-M-Wimbledon-QF-Boris_Becker-Pat_Cash,1
19880701-M-Wimbledon-SF-Boris_Becker-Ivan_Lendl,1
19880702-M-Wimbledon-SF-Stefan_Edberg-Miloslav_Mecir,1
19880704-M-Wimbledon-F-Stefan_Edberg-Boris_Becker,1
19880722-M-Davis_Cup_World_Group_SF-RR-Stefan_Edberg-Henri_Leconte,1
19880813-M-Canada_Masters-SF-Jimmy_Connors-Ivan_Lendl,2
19880814-M-Canada_Masters-F-Ivan_Lendl-Kevin_Curren,1
19880901-M-US_Open-R64-John_Mcenroe-Mark_Woodforde,2
19880910-M-US_Open-SF-Andre_Agassi-Ivan_Lendl,2
19880911-M-US_Open-F-Mats_Wilander-Ivan_Lendl,1
19881010-M-Basel-F-Stefan_Edberg-Jakob_Hlasek,1
19881102-M-Tour_Finals-RR-Boris_Becker-Stefan_Edberg,2
19881111-M-Stuttgart_Classic-RR-John_Mcenroe-Ivan_Lendl,1
19881202-M-Masters_Cup-F-Boris_Becker-Ivan_Lendl,1
19881216-M-Davis_Cup_World_Group_F-RR-Stefan_Edberg-Boris_Becker,2
19890123-M-Australian_Open-R16-Jonas_Svensson-Boris_Becker,1
19890125-M-Australian_Open-QF-Ivan_Lendl-John_Mcenroe,1
19890127-M-Australian_Open-SF-Jan_Gunnarsson-Miloslav_Mecir,2
19890127-M-Australian_Open-SF-Thomas_Muster-Ivan_Lendl,2
19890129-M-Australian_Open-F-Ivan_Lendl-Miloslav_Mecir,1
19890304-M-Dallas_WCT-SF-John_Mcenroe-Ivan_Lendl,1
19890422-M-Tokyo_Outdoor-SF-John_Mcenroe-Stefan_Edberg,2
19890423-M-Nice-F-Jerome_Potier-Andrei_Chesnokov,2
19890424-M-Tokyo_Outdoor-F-Stefan_Edberg-Ivan_Lendl,1
19890430-M-Monte_Carlo_Masters-F-Alberto_Mancini-Boris_Becker,1
19890521-M-Rome_Masters-F-Andre_Agassi-Alberto_Mancini,2
19890609-M-Roland_Garros-SF-Michael_Chang-Andrei_Chesnokov,1
19890609-M-Roland_Garros-SF-Stefan_Edberg-Boris_Becker,1
19890611-M-Roland_Garros-F-Michael_Chang-Stefan_Edberg,1
19890629-M-Wimbledon-R64-Todd_Woodbridge-Stefan_Edberg,2
19890701-M-Wimbledon-SF-Stefan_Edberg-John_Mcenroe,1
19890705-M-Wimbledon-QF-Boris_Becker-Paul_Chamberlin,1
19890706-M-Wimbledon-QF-Stefan_Edberg-Tim_Mayotte,1
19890708-M-Wimbledon-SF-Ivan_Lendl-Boris_Becker,2
19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,1
19890721-M-Davis_Cup_World_Group_SF-RR-Boris_Becker-Andre_Agassi,1
19890819-M-Canada_Masters-SF-Ivan_Lendl-Andre_Agassi,1
19890820-M-Canada_Masters-F-John_Mcenroe-Ivan_Lendl,2
19890820-M-Cincinnati_Masters-F-Brad_Gilbert-Stefan_Edberg,1
19890905-M-US_Open-R16-Jimmy_Connors-Stefan_Edberg,1
19890907-M-US_Open-SF-Tim_Mayotte-Ivan_Lendl,2
19890909-M-US_Open-SF-Andre_Agassi-Ivan_Lendl,2
19890909-M-US_Open-SF-Boris_Becker-Aaron_Krickstein,1
19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl,1
19891008-M-Basel-F-Jim_Courier-Stefan_Edberg,1
19891105-M-Paris_Masters-F-Stefan_Edberg-Boris_Becker,2
19891112-M-Stockholm_Masters-F-Ivan_Lendl-Magnus_Gustafsson,1
19891129-M-Tour_Finals-RR-Boris_Becker-Stefan_Edberg,1
19891130-M-Tour_Finals-RR-Andre_Agassi-Stefan_Edberg,2
19891202-M-Tour_Finals-SF-Stefan_Edberg-Ivan_Lendl,1
19891203-M-Tour_Finals-F-Stefan_Edberg-Boris_Becker,1
19891217-M-Davis_Cup_World_Group_F-RR-Mats_Wilander-Boris_Becker,2
19891217-M-Davis_Cup_World_Group_F-RR-Stefan_Edberg-Boris_Becker,2
19900121-M-Australian_Open-R16-John_Mcenroe-Mikael_Pernfors,2
19900122-M-Australian_Open-R16-Boris_Becker-Miloslav_Mecir,1
19900122-M-Australian_Open-R16-Jonas_Svensson-Stefan_Edberg,2
19900127-M-Australian_Open-SF-Mats_Wilander-Stefan_Edberg,2
19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg,1
19900203-M-Australian_Open-SF-Yannick_Noah-Ivan_Lendl,2
19900210-M-Milan-SF-Pete_Sampras-Ivan_Lendl,2
19900225-M-Philadelphia-F-Pete_Sampras-Andres_Gomez,1
19900225-M-Stuttgart_Indoor-F-Ivan_Lendl-Boris_Becker,2
19900310-M-Indian_Wells_Masters-SF-Jim_Courier-Stefan_Edberg,2
19900311-M-Indian_Wells_Masters-F-Andre_Agassi-Stefan_Edberg,2
19900323-M-Miami_Masters-SF-Emilio_Sanchez-Stefan_Edberg,2
19900325-M-Miami_Masters-F-Andre_Agassi-Stefan_Edberg,1
19900415-M-Tokyo_Outdoor-F-Aaron_Krickstein-Stefan_Edberg,2
19900429-M-Monte_Carlo_Masters-F-Andrei_Chesnokov-Thomas_Muster,1
19900513-M-Hamburg_Masters-F-Juan_Aguilera-Boris_Becker,1
19900528-M-Roland_Garros-R128-Francisco_Clavet-Yannick_Noah,2
19900529-M-Roland_Garros-R128-Boris_Becker-Goran_Ivanisevic,2
19900530-M-Roland_Garros-R64-Marcelo_Filippini-Andres_Gomez,2
19900530-M-Roland_Garros-R64-Todd_Woodbridge-Andre_Agassi,2
19900602-M-Roland_Garros-R32-Goran_Ivanisevic-Patrik_Kuhnen,1
19900603-M-Roland_Garros-R16-Jim_Courier-Andre_Agassi,2
19900604-M-Roland_Garros-R16-Andrei_Chesnokov-Henri_Leconte,2
